id,photo,web_name,team_code,status,code,first_name,second_name,squad_number,news,now_cost,chance_of_playing_this_round,chance_of_playing_next_round,value_form,value_season,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,in_dreamteam,dreamteam_count,selected_by_percent,form,transfers_out,transfers_in,transfers_out_event,transfers_in_event,loans_in,loans_out,loaned_in,loaned_out,total_points,event_points,points_per_game,ep_this,ep_next,special,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,element_type,team
1,48844.jpg,Ospina,3,i,48844,David,Ospina,13,Groin Injury - Expected back 18 Nov,49,0,0,0.0,0.0,-1,0,1,0,false,0,0.2,0.0,6133,1040,1,0,0,0,0,0,0,0,0.0,0.0,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1
2,11334.jpg,Cech,3,a,11334,Petr,Cech,33,"",55,,,0.4,6.5,0,0,0,0,false,0,5.6,2.0,119197,65229,42,19,0,0,0,0,36,0,4.0,3.0,1.5,false,810,0,0,4,12,0,0,0,0,0,20,3,168,180.8,0.0,0.0,18.0,0,1,1
3,98980.jpg,Martinez,3,u,98980,Damian Emiliano,Martinez,26,Season-long loan to Getafe,40,0,0,0.0,0.0,0,0,0,0,false,0,0.7,0.0,20423,868,7,0,0,0,0,0,0,0,0.0,0.0,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1
4,51507.jpg,Koscielny,3,a,51507,Laurent,Koscielny,6,"",60,100,100,0.1,3.5,0,0,0,0,false,0,0.9,0.5,32949,27455,12,4,0,0,0,0,21,0,3.5,1.5,0.0,false,534,0,0,3,7,0,0,0,1,0,0,1,138,163.8,32.4,21.0,21.8,0,2,1
5,17127.jpg,Mertesacker,3,a,17127,Per,Mertesacker,4,"",49,100,100,0.5,2.0,-1,0,1,0,false,1,0.7,2.5,21142,20240,6,10,0,0,0,0,10,0,5.0,3.5,2.0,false,180,1,0,0,4,0,0,0,0,0,0,2,47,90.4,0.8,17.0,10.8,0,2,1
6,158074.jpg,Gabriel,3,u,158074,Gabriel Armando,de Abreu,5,Joined Valencia on 18/8,50,0,0,0.0,0.0,0,0,0,0,false,0,0.0,0.0,1730,289,1,0,0,0,0,0,0,0,0.0,0.0,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1
7,98745.jpg,Bellerín,3,a,98745,Héctor,Bellerín,24,"",59,,,0.6,5.9,-1,0,1,0,false,1,10.6,3.3,344570,167021,88,43,0,0,0,0,35,0,3.9,4.3,2.8,false,810,0,1,4,12,0,0,0,1,0,0,4,173,93.6,157.7,154.0,40.6,0,2,1
8,42427.jpg,Gibbs,35,a,42427,Kieran,Gibbs,3,"",50,100,100,0.3,2.6,0,0,0,0,false,0,0.4,1.3,12317,19018,1,2,0,0,0,0,13,0,2.2,-0.2,1.3,false,477,0,0,1,7,0,0,0,0,0,0,0,74,91.8,60.1,50.0,20.2,0,2,19
9,80254.jpg,Jenkinson,3,u,80254,Carl,Jenkinson,25,Season-long loan to Birmingham,45,0,0,0.0,0.0,0,0,0,0,false,0,0.2,0.0,11948,683,0,1,0,0,0,0,0,0,0.0,0.0,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1
10,38411.jpg,Monreal,3,a,38411,Nacho,Monreal,18,"",56,,,1.0,8.8,1,0,-1,0,false,1,11.6,5.8,198254,508224,90,272,0,0,0,0,49,0,5.4,6.8,5.3,false,810,2,0,4,12,0,0,0,0,0,0,8,245,282.6,70.0,63.0,41.6,0,2,1
